"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5","imdb_url","rt_url","genre_string"
"171","Leatherface: The Texas Chainsaw Massacre III","Feature Film","Horror",85,"R","Sony Pictures Home Entertainment",1990,1,12,2003,10,7,5.1,9565,"Rotten",19,"Spilled",32,"no","no","no","no","no","no","Jeff Burr","Kate Hodge","Ken Foree","Viggo Mortensen","R.A. Mihailoff","Miriam Byrd-Nethery","http://www.imdb.com/title/tt0099994/","//www.rottentomatoes.com/m/leatherface_the_texas_chainsaw_massacre_3/","Horror"
"172","Lorenzo's Oil","Feature Film","Drama",129,"PG-13","MCA Universal Home Video",1992,12,30,2004,4,6,7.2,15913,"Fresh",94,"Upright",79,"no","no","no","yes","no","no",NA,"Nick Nolte","Susan Sarandon","Peter Ustinov","Kathleen Wilhoite","Gerry Bamman","http://www.imdb.com/title/tt0104756/","//www.rottentomatoes.com/m/lorenzos_oil/","Drama"
"173","Groundhog Day","Feature Film","Other",101,"PG","Columbia Pictures",1993,2,12,2002,1,29,8.1,414687,"Certified Fresh",96,"Upright",87,"no","no","no","no","no","no","Harold Ramis","Bill Murray","Andie MacDowell","Chris Elliott","Stephen Tobolowsky","Brian Doyle-Murray","http://www.imdb.com/title/tt0107048/","//www.rottentomatoes.com/m/groundhog_day/","Other"
"174","Conviction","Feature Film","Drama",107,"R","Fox Searchlight",2010,10,15,2011,2,1,7.2,33720,"Fresh",67,"Upright",70,"no","no","no","no","no","no","Tony Goldwyn","Sam Rockwell","Minnie Driver","Melissa Leo","Peter Gallagher","Ari Graynor","http://www.imdb.com/title/tt1244754/","//www.rottentomatoes.com/m/conviction_2010/","Drama"
"175","Kicking It","Documentary","Documentary",98,"Unrated","Liberation Entertainment",2008,6,13,2008,9,9,7.4,325,"Rotten",53,"Upright",71,"no","no","no","no","no","no","Jeff Werner","Colin Farrell","Brandon Francis",NA,NA,NA,"http://www.imdb.com/title/tt1157668/","//www.rottentomatoes.com/m/kicking_it/","Documentar"
"176","Vampire Hunter D: Bloodlust","Feature Film","Action & Adventure",103,"R","Urban Vision Entertainment",2001,9,21,2002,2,12,7.8,22245,"Fresh",72,"Upright",86,"no","no","no","no","no","no","Yoshiaki Kawajiri","Wendee Lee","Andrew Philpot","Pamela Segall","Toshihiko Seki","Megumi Hayashibara","http://www.imdb.com/title/tt0216651/","//www.rottentomatoes.com/m/vampire_hunter_d_bloodlust/","Action & A"
"177","Bounce","Feature Film","Drama",106,"PG-13","Miramax Films",2000,11,17,2001,4,10,5.7,17133,"Rotten",52,"Spilled",33,"no","no","no","yes","no","no","Don Roos","Ben Affleck","Gwyneth Paltrow","Tony Goldwyn","Alex D. Linz","David Dorfman","http://www.imdb.com/title/tt0186894/","//www.rottentomatoes.com/m/bounce/","Drama"
"178","A Mighty Heart","Feature Film","Drama",108,"R","Paramount Vantage",2007,6,22,2007,10,16,6.7,23821,"Certified Fresh",79,"Upright",70,"no","no","no","no","no","no","Michael Winterbottom","Angelina Jolie","Dan Futterman","Archie Panjabi","Irfan Khan","Will Patton","http://www.imdb.com/title/tt0829459/","//www.rottentomatoes.com/m/mighty_heart/","Drama"
"179","Santa Sangre","Feature Film","Drama",123,"R","Republic Pictures Home Video",1990,6,1,1991,3,28,7.7,13285,"Fresh",85,"Upright",87,"no","no","no","no","no","no","Alejandro Jodorowsky","Sergio Bustamante","Adan Jodorowsky","Jesus Juarez","Axel Jodorowsky","Guy Stockwell","http://www.imdb.com/title/tt0098253/","//www.rottentomatoes.com/m/santa_sangre/","Drama"
"180","Resident Evil","Feature Film","Action & Adventure",100,"R","Columbia Tristar Pictures",2002,3,15,2002,7,30,6.7,192052,"Rotten",33,"Upright",68,"no","no","no","no","no","no","Paul W.S. Anderson","Milla Jovovich","Michelle Rodriguez","Eric Mabius","James Purefoy","Martin Crewes","http://www.imdb.com/title/tt0120804/","//www.rottentomatoes.com/m/resident_evil/","Action & A"
"181","Top Gun","Feature Film","Drama",110,"PG","Paramount Pictures",1986,5,16,1998,10,20,6.9,211129,"Rotten",54,"Upright",83,"no","no","no","no","no","yes","Tony Scott","Tom Cruise","Kelly McGillis","Anthony Edwards","Val Kilmer","Tom Skerritt","http://www.imdb.com/title/tt0092099/","//www.rottentomatoes.com/m/top_gun/","Drama"
"182","25th Hour","Feature Film","Drama",135,"R","Touchstone Pictures",2003,1,10,2003,5,20,7.7,146518,"Certified Fresh",78,"Upright",85,"no","no","yes","no","no","no","Spike Lee","Edward Norton","Barry Pepper","Philip Seymour Hoffman","Rosario Dawson","Anna Paquin","http://www.imdb.com/title/tt0307901/","//www.rottentomatoes.com/m/25th_hour/","Drama"
"183","The Bad News Bears in Breaking Training","Feature Film","Comedy",100,"PG","Paramount Pictures",1977,7,8,2002,2,12,5.4,2239,"Rotten",50,"Spilled",39,"no","no","no","no","no","no","Michael Pressman","William Devane","Jackie Earle Haley","Clifton James","Jimmy Baio","Chris Barnes","http://www.imdb.com/title/tt0075718/","//www.rottentomatoes.com/m/bad_news_bears_in_breaking_training/","Comedy"
"184","Streets of Gold","Feature Film","Drama",95,"R","Live Home Video",1986,11,14,NA,NA,NA,6,486,"Rotten",31,"Spilled",44,"no","no","no","no","no","no","Joe Roth","Klaus Maria Brandauer","Adrian Pasdar","Richard Pasdar","Wesley Snipes","Angela Molina","http://www.imdb.com/title/tt0092022/","//www.rottentomatoes.com/m/streets_of_gold/","Drama"
"185","The Mod Squad","Feature Film","Drama",92,"R","MGM",1999,3,26,1999,8,24,4.1,7658,"Rotten",4,"Spilled",17,"no","no","no","no","no","no","Scott Silver","Claire Danes","Giovanni Ribisi","Omar Epps","Josh Brolin","Dennis Farina","http://www.imdb.com/title/tt0120757/","//www.rottentomatoes.com/m/mod_squad/","Drama"
"186","Where the Heart Is","Feature Film","Drama",107,"R","Touchstone Pictures",1990,1,1,2003,6,3,6.1,1268,"Rotten",11,"Spilled",58,"no","no","no","no","no","no","John Boorman","Dabney Coleman","Uma Thurman","Joanna Cassidy","Crispin Glover","Suzy Amis","http://www.imdb.com/title/tt0100924/","//www.rottentomatoes.com/m/1028561-where_the_heart_is/","Drama"
"187","Battlefield Earth","Feature Film","Action & Adventure",118,"PG-13","Warner Bros. Pictures",2000,5,12,2001,1,16,2.4,64119,"Rotten",3,"Spilled",11,"no","no","yes","no","no","no","Roger Christian","John Travolta","Barry Pepper","Forest Whitaker","Kim Coates","Richard Tyson","http://www.imdb.com/title/tt0185183/","//www.rottentomatoes.com/m/battlefield_earth/","Action & A"
"188","Osmosis Jones","Feature Film","Comedy",95,"PG","Warner Bros. Pictures",2001,8,10,2001,11,13,6.2,24678,"Rotten",55,"Spilled",41,"no","no","no","no","no","no","Bill Murray","Bill Murray","Chris Rock","Laurence Fishburne","David Hyde Pierce","William Shatner","http://www.imdb.com/title/tt0181739/","//www.rottentomatoes.com/m/osmosis_jones/","Comedy"
"189","Never Cry Wolf","Feature Film","Drama",105,"PG","Disney",1983,1,1,2000,2,22,7.6,6114,"Fresh",100,"Upright",85,"no","no","no","no","no","no","Carroll Ballard","Charles Martin Smith","Brian Dennehy","Zachary Ittimangnaq","Samson Jorah","Hugh Webster","http://www.imdb.com/title/tt0086005/","//www.rottentomatoes.com/m/never_cry_wolf/","Drama"
"190","A Good Woman","Feature Film","Drama",93,"PG","Lions Gate Films",2006,2,3,2006,6,13,6.5,9399,"Rotten",37,"Spilled",49,"no","no","no","yes","no","no","Mike Barker","Helen Hunt","Scarlett Johansson","Tom Wilkinson","Stephen Campbell Moore","Mark Umbers","http://www.imdb.com/title/tt0379306/","//www.rottentomatoes.com/m/good_woman/","Drama"
"191","Drive","Feature Film","Drama",100,"R","FilmDistrict",2011,9,16,2012,1,31,7.8,414650,"Certified Fresh",92,"Upright",79,"no","no","no","no","no","no","Nicolas Winding Refn","Ryan Gosling","Carey Mulligan","Albert Brooks","Bryan Cranston","Christina Hendricks","http://www.imdb.com/title/tt0780504/","//www.rottentomatoes.com/m/drive_2011/","Drama"
"192","2 Days in the Valley","Feature Film","Drama",104,"R","HBO Video",1996,9,27,2001,8,7,6.5,15291,"Fresh",60,"Spilled",54,"no","no","no","yes","no","no","John Herzfeld","Danny Aiello","Greg Cruttwell","James Spader","Teri Hatcher","Charlize Theron","http://www.imdb.com/title/tt0115438/","//www.rottentomatoes.com/m/2_days_in_the_valley/","Drama"
"193","Married to It","Feature Film","Drama",112,"R","Orion Home Video",1993,3,26,2003,4,1,5.9,725,"Rotten",33,"Spilled",41,"no","no","no","no","no","no","Arthur Hiller","Beau Bridges","Stockard Channing","Robert Sean Leonard","Mary Stuart Masterson","Cybill Shepherd","http://www.imdb.com/title/tt0107523/","//www.rottentomatoes.com/m/married_to_it/","Drama"
"194","Pay It Forward","Feature Film","Drama",123,"PG-13","Warner Bros. Pictures",2000,10,20,2001,5,15,7.1,93331,"Rotten",40,"Upright",77,"no","no","yes","yes","no","no","Mimi Leder","Kevin Spacey","Helen Hunt","Haley Joel Osment","Angie Dickinson","Jay Mohr","http://www.imdb.com/title/tt0223897/","//www.rottentomatoes.com/m/pay_it_forward/","Drama"
"195","Topsy-Turvy","Feature Film","Drama",154,"R","October Films",1999,12,17,2000,6,20,7.4,9876,"Certified Fresh",89,"Upright",79,"no","no","no","no","no","no","Mike Leigh","Jim Broadbent","Allan Corduner","Alan Corduner","Timothy Spall","Lesley Manville","http://www.imdb.com/title/tt0151568/","//www.rottentomatoes.com/m/topsyturvy/","Drama"
"196","Beyond the Gates","Feature Film","Drama",115,"R","IFC First Take",2005,12,8,2007,9,18,7.7,9525,"Certified Fresh",84,"Upright",85,"no","no","no","no","no","no","Michael Caton-Jones","John Hurt","Hugh Dancy","Dominique Horwitz","Louis Mahoney","Nicola Walker","http://www.imdb.com/title/tt0420901/","//www.rottentomatoes.com/m/beyond_the_gates/","Drama"
"197","Top Secret!","Feature Film","Comedy",90,"PG","Paramount Home Video",1984,6,8,2002,7,16,7.2,44741,"Fresh",76,"Upright",80,"no","no","no","no","no","no","David Zucker","Val Kilmer","Omar Sharif","Lucy Gutteridge","Christopher Villiers","Peter Cushing","http://www.imdb.com/title/tt0088286/","//www.rottentomatoes.com/m/1021699-top_secret/","Comedy"
"198","Gaza Strip","Documentary","Documentary",74,"Unrated","Arab Film Distribution",2002,1,1,2003,5,6,7.3,285,"Fresh",78,"Upright",89,"no","no","no","no","no","no","James Longley",NA,NA,NA,NA,NA,"http://www.imdb.com/title/tt0329112/","//www.rottentomatoes.com/m/gaza_strip/","Documentar"
"199","Night and the City","Feature Film","Drama",105,"R","Twentieth Century Fox Home Entertainment",1992,10,11,1993,4,21,5.8,3673,"Fresh",67,"Spilled",31,"no","no","yes","yes","no","no","Irwin Winkler","Robert De Niro","Jessica Lange","Cliff Gorman","Alan King","Eli Wallach","http://www.imdb.com/title/tt0105001/","//www.rottentomatoes.com/m/1040890-night_and_the_city/","Drama"
"200","Lockout (Unrated)","Feature Film","Action & Adventure",95,"PG-13","FilmDistrict",2012,4,13,2012,7,17,6.1,79970,"Rotten",38,"Spilled",46,"no","no","no","no","no","no","Stephen St. Leger","Guy Pearce","Maggie Grace","Vincent Regan","Peter Stormare","Lennie James","http://www.imdb.com/title/tt1592525/","//www.rottentomatoes.com/m/lockout_2012/","Action & A"
"201","Orwell Rolls in His Grave","Documentary","Documentary",84,"Unrated","Sag Harbor-Basement Pictures",2003,10,23,2005,6,7,8.1,1058,"Fresh",79,"Upright",92,"no","no","no","no","no","no","Robert Kane Pappas","Robert Kane Pappas","Danny Schechter","Charles Lewis","Vincent Bugliosi","Michael Moore","http://www.imdb.com/title/tt0410407/","//www.rottentomatoes.com/m/orwell_rolls_in_his_grave/","Documentar"
"202","Sunshine Cleaning","Feature Film","Comedy",91,"R","Overture Films",2009,3,13,2009,8,25,6.9,60220,"Certified Fresh",72,"Upright",62,"no","no","no","no","no","no","Christine Jeffs","Amy Adams","Emily Blunt","Alan Arkin","Jason Spevack","Steve Zahn","http://www.imdb.com/title/tt0862846/","//www.rottentomatoes.com/m/sunshine_cleaning/","Comedy"
"203","The Stupids","Feature Film","Comedy",94,"PG","New Line Home Entertainment",1996,9,6,2004,2,10,4.1,5591,"Rotten",21,"Spilled",36,"no","no","no","no","no","no","John Landis","Tom Arnold","Jessica Lundy","Bug Hall","Alex McKenna","Mark Metcalf","http://www.imdb.com/title/tt0117768/","//www.rottentomatoes.com/m/stupids/","Comedy"
"204","Better This World","Documentary","Documentary",82,"Unrated","Independent Pictures",2011,9,16,2012,7,24,7.3,340,"Fresh",100,"Upright",80,"no","no","no","no","no","no","Kelly Duane","Brad Crowder","David McKay","Brandon Darby","E.K. Wilson","Christopher Langert","http://www.imdb.com/title/tt1460739/","//www.rottentomatoes.com/m/better_this_world/","Documentar"
"205","Wimbledon","Feature Film","Drama",98,"PG-13","Universal Pictures",2004,9,17,2004,12,28,6.3,50340,"Fresh",60,"Spilled",57,"no","no","no","no","no","no","Richard Loncraine","Kirsten Dunst","Paul Bettany","Sam Neill","James McAvoy","Bernard Hill","http://www.imdb.com/title/tt0360201/","//www.rottentomatoes.com/m/wimbledon/","Drama"
"206","B. Monkey","Feature Film","Drama",92,"R","Miramax",1999,9,10,2000,3,21,6,2934,"Fresh",61,"Spilled",55,"no","no","no","no","no","no","Michael Radford","Asia Argento","Jared Harris","Rupert Everett","Jonathan Rhys Meyers","Julie T. Wallace","http://www.imdb.com/title/tt0120594/","//www.rottentomatoes.com/m/b_monkey/","Drama"
"207","Caveman","Feature Film","Action & Adventure",91,"PG",NA,1981,4,17,2002,6,4,5.7,5564,"Rotten",24,"Spilled",55,"no","no","no","no","no","no","Carl Gottlieb","Ringo Starr","Dennis Quaid","Shelley Long","Jack Gilford","John Matuszak","http://www.imdb.com/title/tt0082146/","//www.rottentomatoes.com/m/caveman/","Action & A"
"208","V for Vendetta","Feature Film","Drama",132,"R","Warner Bros. Pictures",2006,3,17,2006,8,1,8.2,753592,"Certified Fresh",73,"Upright",90,"no","no","no","yes","no","no","James McTeigue","Natalie Portman","Hugo Weaving","Stephen Rea","John Hurt","Stephen Fry","http://www.imdb.com/title/tt0434409/","//www.rottentomatoes.com/m/v_for_vendetta/","Drama"
"209","One on One","Feature Film","Drama",98,"PG","Warner Bros.",1977,6,28,2009,3,23,6.4,1141,"Fresh",83,"Upright",75,"no","no","no","no","no","no","Lamont Johnson","Robby Benson","Annette O'Toole","G.D. Spradlin","Gail Strickland","Melanie Griffith","http://www.imdb.com/title/tt0076500/","//www.rottentomatoes.com/m/one-on-one/","Drama"
"210","Flesh And Bone","Feature Film","Drama",126,"R","Paramount Home Video",1993,11,5,2002,4,16,6.2,3967,"Fresh",67,"Spilled",40,"no","no","no","yes","no","no","Steve Kloves","Dennis Quaid","Meg Ryan","James Caan","Gwyneth Paltrow","Jerry Swindall","http://www.imdb.com/title/tt0106926/","//www.rottentomatoes.com/m/flesh_and_bone/","Drama"
"211","Mission: Impossible","Feature Film","Mystery & Suspense",110,"PG-13","Paramount Pictures",1996,5,22,1998,1,17,7.1,287476,"Fresh",63,"Upright",71,"no","no","yes","no","no","yes","Brian DePalma","Tom Cruise","Jon Voight","Henry Czerny","Jean Reno","Ving Rhames","http://www.imdb.com/title/tt0117060/","//www.rottentomatoes.com/m/mission_impossible/","Mystery & "
"212","A Time to Kill","Feature Film","Mystery & Suspense",149,"R","Warner Home Video",1996,7,24,1997,8,22,7.4,94983,"Fresh",67,"Upright",86,"no","no","yes","yes","no","no","Joel Schumacher","Matthew McConaughey","Samuel L. Jackson","Sandra Bullock","Kevin Spacey","Brenda Fricker","http://www.imdb.com/title/tt0117913/","//www.rottentomatoes.com/m/1072381-time_to_kill/","Mystery & "
"213","The Color of Money","Feature Film","Other",119,"R","Touchstone Pictures",1986,10,8,2001,3,6,7,56185,"Fresh",90,"Upright",73,"no","no","yes","no","yes","no","Martin Scorsese","Paul Newman","Tom Cruise","Mary Elizabeth Mastrantonio","Helen Shaver","John Turturro","http://www.imdb.com/title/tt0090863/","//www.rottentomatoes.com/m/color_of_money/","Other"
"214","Knightriders","Feature Film","Drama",146,"R","Laurel Entertainment",1981,1,1,2000,7,11,6.4,3138,"Fresh",82,"Upright",61,"no","no","no","no","no","no","George A. Romero","Ed Harris","Gary Lahti","Tom Savini","Amy Ingersoll","Patricia Tallman","http://www.imdb.com/title/tt0082622/","//www.rottentomatoes.com/m/knightriders/","Drama"
"215","The Company You Keep","Feature Film","Mystery & Suspense",125,"R","Sony Pictures Classics",2013,4,5,2013,8,13,6.4,25264,"Rotten",55,"Spilled",45,"no","no","no","yes","yes","no","Robert Redford","Robert Redford","Shia LaBeouf","Julie Christie","Susan Sarandon","Nick Nolte","http://www.imdb.com/title/tt1381404/","//www.rottentomatoes.com/m/the_company_you_keep/","Mystery & "
"216","Madea Goes to Jail","Feature Film","Drama",103,"PG-13","Lionsgate",2009,2,20,2009,6,16,4.1,9424,"Rotten",29,"Upright",70,"no","no","no","no","no","no","Tyler Perry","Tyler Perry","Derek Luke","Keshia Knight Pulliam","Ion Overman","Sofia Vergara","http://www.imdb.com/title/tt1142800/","//www.rottentomatoes.com/m/madea-goes-to-jail/","Drama"
"217","Every Which Way But Loose","Feature Film","Action & Adventure",114,"PG","Warner Bros. Pictures",1978,12,20,2002,5,7,6.2,16681,"Rotten",31,"Spilled",56,"no","no","no","no","no","no","James Fargo","Clint Eastwood","Sondra Locke","Geoffrey Lewis","Beverly D'Angelo","Ruth Gordon","http://www.imdb.com/title/tt0077523/","//www.rottentomatoes.com/m/every_which_way_but_loose/","Action & A"
"218","Strictly Business","Feature Film","Drama",83,"PG-13","Warner Home Video",1991,11,8,2007,9,18,5.3,1308,"Rotten",10,"Spilled",56,"no","no","no","no","no","no","Rolando Hudson","Tommy Davidson","Joseph C. Phillips","Anne-Marie Johnson","David Marshall Grant","Jon Cypher","http://www.imdb.com/title/tt0102996/","//www.rottentomatoes.com/m/strictly_business/","Drama"
"219","Once","Feature Film","Musical & Performing Arts",85,"R","Fox Searchlight",2007,5,18,2007,12,18,7.9,87215,"Certified Fresh",97,"Upright",91,"no","no","no","no","no","no","John Carney (V)","Glen Hansard","Marketa Irglova","Geoff Minogue","Mal Whyte","Bill Hodnett","http://www.imdb.com/title/tt0907657/","//www.rottentomatoes.com/m/once/","Musical & "
"220","Beverly Hills Cop","Feature Film","Action & Adventure",105,"R","Paramount Pictures",1984,12,1,2002,1,29,7.3,121245,"Certified Fresh",83,"Upright",81,"no","no","no","no","no","yes","Martin Brest","Eddie Murphy","Judge Reinhold","John Ashton","Lisa Eilbacher","Lisa Eichhorn","http://www.imdb.com/title/tt0086960/","//www.rottentomatoes.com/m/beverly_hills_cop/","Action & A"
"221","The Raven","Feature Film","Mystery & Suspense",110,"R","Relativity Media",2012,4,27,2012,10,9,6.4,71112,"Rotten",22,"Spilled",46,"no","no","no","no","no","no","James McTeigue","Luke Evans","John Cusack","Brendan Gleeson","Alice Eve","Oliver Jackson-Cohen","http://www.imdb.com/title/tt1486192/","//www.rottentomatoes.com/m/the_raven_2012/","Mystery & "
"222","Nick and Norah's Infinite Playlist","Feature Film","Comedy",90,"PG-13","Sony Pictures/Screen Gems",2008,10,3,2009,2,3,6.7,72295,"Fresh",74,"Upright",65,"no","no","no","no","no","no","Peter Sollett","Michael Cera","Kat Dennings","Alexis Dziena","Ari Graynor","Aaron Yoo","http://www.imdb.com/title/tt0981227/","//www.rottentomatoes.com/m/nick_and_norahs_infinite_playlist/","Comedy"
"223","Attack of the 50 Foot Woman","TV Movie","Other",90,"R",NA,1993,12,11,2002,4,2,3.8,2289,"Rotten",22,"Spilled",21,"no","no","no","no","no","no","Christopher Guest","Daryl Hannah","Daniel Baldwin","Xander Berkeley",NA,NA,"http://www.imdb.com/title/tt0106317/","//www.rottentomatoes.com/m/1050445-attack_of_the_50_foot_woman/","Other"
"224","The Sum of All Fears","Feature Film","Drama",124,"PG-13","Paramount Pictures",2002,5,31,2002,10,29,6.4,84191,"Rotten",59,"Spilled",49,"no","no","no","no","no","no","Phil Alden Robinson","Ben Affleck","Morgan Freeman","James Cromwell","Liev Schreiber","Bridget Moynahan","http://www.imdb.com/title/tt0164184/","//www.rottentomatoes.com/m/sum_of_all_fears/","Drama"
"225","The Interview","Feature Film","Comedy",112,"R","Sony Pictures",2014,12,25,2015,2,17,6.6,235529,"Rotten",51,"Spilled",48,"no","no","no","no","no","no","Seth Rogen","James Franco","Seth Rogen","Lizzy Caplan","Randall Park","Diana Bang","http://www.imdb.com/title/tt2788710/","//www.rottentomatoes.com/m/the_interview_2014/","Comedy"
"226","Let the Right One In","Feature Film","Drama",115,"R","Magnet/Magnolia Pictures",2008,1,26,2009,3,10,8,168032,"Certified Fresh",98,"Upright",90,"no","no","no","no","no","no","Tomas Alfredson","Kare Hedebrant","Lina Leandersson","Per Ragnar","Henrik Dahl","Karin Bergquist","http://www.imdb.com/title/tt1139797/","//www.rottentomatoes.com/m/let_the_right_one_in/","Drama"
"227","Volcano","Feature Film","Drama",104,"PG-13","Twentieth Century Fox Home Entertainment",1997,4,25,2001,12,18,5.4,56329,"Rotten",44,"Spilled",31,"no","no","no","no","no","no","Mick Jackson","Tommy Lee Jones","Anne Heche","Don Cheadle","Jacqueline Kim","Keith David","http://www.imdb.com/title/tt0120461/","//www.rottentomatoes.com/m/1076267-volcano/","Drama"
"228","Nostalgia for the Light","Documentary","Documentary",90,"Unrated","Icarus Films",2011,3,18,2011,9,13,7.6,2849,"Certified Fresh",100,"Upright",84,"no","no","no","no","no","no","Patricio Guzman","Gaspar Galaz","Lautaro Nunez de Arco","Luis Henriquez","Miguel Lawner","Victor Gonzalez","http://www.imdb.com/title/tt1556190/","//www.rottentomatoes.com/m/nostalgia_for_the_light/","Documentar"
"229","Where the Heart Is","Feature Film","Drama",120,"PG-13","Twentieth Century Fox Home Entertainment",2000,4,28,2000,9,26,6.8,26360,"Rotten",35,"Upright",77,"no","no","no","yes","no","no","Matt Williams","Natalie Portman","Ashley Judd","Sally Field","Stockard Channing","Joan Cusack","http://www.imdb.com/title/tt0198021/","//www.rottentomatoes.com/m/1096832-where_the_heart_is/","Drama"
"230","The Cake Eaters","Feature Film","Art House & International",86,"R","7-57 Releasing",2007,4,29,2009,3,24,6.5,5762,"Fresh",64,"Spilled",48,"no","no","no","no","no","no","Mary Stuart Masterson","Aaron Stanford","Bruce Dern","Jesse L. Martin","Kristen Stewart","Jayce Bartok","http://www.imdb.com/title/tt0418586/","//www.rottentomatoes.com/m/the-cake-eaters/","Art House "
"231","The Darwin Awards","Feature Film","Drama",94,"R","Blumhouse",2006,7,5,2007,7,31,5.9,8521,"Rotten",25,"Spilled",45,"no","no","no","no","no","no","Finn Taylor","Joseph Fiennes","Winona Ryder","Chris Penn","Wilmer Valderrama","Tim Blake Nelson","http://www.imdb.com/title/tt0428446/","//www.rottentomatoes.com/m/darwin_awards/","Drama"
"232","Kick-Ass 2","Feature Film","Action & Adventure",103,"R","Universal Pictures",2013,8,16,2013,12,17,6.6,191935,"Rotten",30,"Spilled",58,"no","no","no","no","no","no","Jeff Wadlow","Aaron Taylor-Johnson","Christopher Mintz-Plasse","Chloe Grace Moretz","John Leguizamo","Donald Faison","http://www.imdb.com/title/tt1650554/","//www.rottentomatoes.com/m/kick_ass_2_2013/","Action & A"
"233","Hotel Terminus: The Life and Times of Klaus Barbie","Documentary","Documentary",267,"Unrated","SnagFilms",1988,11,1,2010,10,26,7.8,872,"Fresh",100,"Upright",73,"no","no","no","no","no","no","Marcel Ophuls","Claude Lanzmann","Jeanne Moreau","Johannes Schneider-Merck","Klaus Barbie","Marcel Cruat","http://www.imdb.com/title/tt0095341/","//www.rottentomatoes.com/m/hotel_terminus_the_life_and_times_of_klaus_barbie/","Documentar"
"234","Jade","Feature Film","Drama",95,"R","Paramount",1995,10,13,1999,2,16,5.1,8999,"Rotten",14,"Spilled",27,"no","no","no","no","yes","no","William Friedkin","David Caruso","Linda Fiorentino","Chazz Palminteri","Michael Biehn","Richard Crenna","http://www.imdb.com/title/tt0113451/","//www.rottentomatoes.com/m/jade/","Drama"
"235","Lethal Weapon","Feature Film","Drama",110,"R","Warner Bros. Pictures",1987,3,6,2000,6,6,7.6,184656,"Certified Fresh",84,"Upright",85,"no","no","no","no","no","no","Richard Donner","Mel Gibson","Danny Glover","Gary Busey","Darlene Love","Mitchell Ryan","http://www.imdb.com/title/tt0093409/","//www.rottentomatoes.com/m/lethal_weapon/","Drama"
"236","Closet Land","Feature Film","Mystery & Suspense",89,"R","Media Home Entertainment",1991,3,6,1991,9,12,7.2,2098,"Rotten",44,"Upright",86,"no","no","no","no","no","no","Radha Bharadwaj","Madeleine Stowe","Alan Rickman",NA,NA,NA,"http://www.imdb.com/title/tt0101597/","//www.rottentomatoes.com/m/closet_land/","Mystery & "
"237","Cast Away","Feature Film","Drama",143,"PG-13","20th Century Fox",2000,12,22,2001,6,12,7.7,375820,"Certified Fresh",90,"Upright",83,"no","no","yes","yes","yes","yes","Robert Zemeckis","Tom Hanks","Helen Hunt","Nick Searcy","Chris Noth","Lari White","http://www.imdb.com/title/tt0162222/","//www.rottentomatoes.com/m/cast_away/","Drama"
"238","Crocodile Dundee in Los Angeles","Feature Film","Action & Adventure",92,"PG","Paramount",2001,4,20,2001,9,18,4.8,19187,"Rotten",11,"Spilled",25,"no","no","no","no","no","no","Simon Wincer","Paul Hogan","Linda Kozlowski","Jere Burns","Alec Wilson","Gerry Skilton","http://www.imdb.com/title/tt0231402/","//www.rottentomatoes.com/m/crocodile_dundee_in_los_angeles/","Action & A"
"239","Motorama","Feature Film","Drama",90,"R","Sony Pictures Home Entertainment",1992,3,28,2001,12,18,6.4,1406,"Fresh",60,"Upright",61,"no","no","no","no","no","no","Barry Shils","Jordan Christopher Michael","Sandy Baron","Mary Woronov","Meat Loaf","Drew Barrymore","http://www.imdb.com/title/tt0104922/","//www.rottentomatoes.com/m/motorama/","Drama"
"240","Lost and Delirious","Feature Film","Drama",103,"R","Lions Gate Releasing",2001,7,20,2001,12,11,7,16755,"Rotten",51,"Upright",78,"no","no","no","no","no","no","Lea Pool","Piper Perabo","Jessica Pare","Mischa Barton","Jackie Burroughs","Eleanor Bannet","http://www.imdb.com/title/tt0245238/","//www.rottentomatoes.com/m/lost_and_delirious/","Drama"
"241","Antiviral","Feature Film","Drama",108,"Unrated","IFC",2013,4,12,2013,8,6,5.6,9003,"Fresh",64,"Spilled",40,"no","no","no","no","no","no","Brandon Cronenberg","Caleb Landry Jones","Sarah Gadon","Douglas Smith","Joe Pingue","Malcolm McDowell","http://www.imdb.com/title/tt2099556/","//www.rottentomatoes.com/m/antiviral/","Drama"
"242","Class Action","Feature Film","Mystery & Suspense",110,"R","Twentieth Century Fox Home Entertainment",1991,3,15,2005,2,1,6.3,5014,"Fresh",75,"Spilled",51,"no","no","yes","no","no","no","Michael Apted","Gene Hackman","Mary Elizabeth Mastrantonio","Colin Friels","Joanna Merlin","Laurence Fishburne","http://www.imdb.com/title/tt0101590/","//www.rottentomatoes.com/m/1034008-class_action/","Mystery & "
"243","The Pit and the Pendulum","Feature Film","Horror",97,"R","MGM",1991,6,27,2000,3,14,6.1,2818,"Rotten",56,"Spilled",40,"no","no","no","no","no","no","Stuart Gordon","Lance Henriksen","Rona De Ricci","Jonathan Fuller","Frances Bay","Jeffrey Combs","http://www.imdb.com/title/tt0100369/","//www.rottentomatoes.com/m/1031984-pit_and_the_pendulum/","Horror"
